,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
18800,51466826,https://www.airbnb.com/rooms/51466826,20250617032754,2025-06-17,city scrape,Sunlit 2 Bd Townhouse Apt - Prospect Lefferts BK,This is the 2nd floor unit of a two family Townhouse. There are 2 bedrooms and 2 bathrooms. Access to the front porch.<br />7 Minute walk to B/Q/S subway at Prospect Park and 2/5 subway at Sterling St. 30 min to Manhattan. <br />7 minute walk to Prospect park and Botanical Gardens,"Taking its rather long name from three nearby locations — Prospect Park, Lefferts Manor, and the Brooklyn Botanic Garden — Prospect Lefferts Gardens (""PLG,"" to locals) can be found below Empire Boulevard, on the eastern side of its namesake park. Settled by the Dutch in 1660, it wasn’t until the late 19th century that the neighborhood’s character began to take shape. You'll find mostly low and mid-rise buildings — many of them prewar, with some newer builds along the avenues. Due to a still-observed 1893 land-use covenant, residences located within the eight-block, rectangular Lefferts Manor Historic District must be single-family homes, built of brick or stone, and at least two stories high, among other guidelines. Befitting a neighborhood with multiple namesakes combined into one, Lefferts Manor is hardly PLG's only Historic District with a distinct architectural character: The Chester Court Historic District is a cul-de-sac made up of 18 Tudor Revival-style houses, while the Ocean o",https://a0.muscache.com/pictures/miso/Hosting-51466826/original/2f1dd24a-671a-4457-aaef-a9cfdc316fe0.jpeg,890215,https://www.airbnb.com/users/show/890215,Duane,2011-07-29,"New York, United States","Life Motto: If it ain't broke, fix it anyway! Everything could be improved...
My wife and I run Psycho-Education, Therapy and Corporate/Leadership Retreats at our home. When it's not occupied with retreat clients we offer the places here on Airbnb...
All Covid-19 Vaccinated guests are welcome!",,,100%,f,https://a0.muscache.com/im/pictures/user/3a365f72-8ecb-4103-b533-c42da15d5296.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/3a365f72-8ecb-4103-b533-c42da15d5296.jpg?aki_policy=profile_x_medium,Crown Heights,6.0,7.0,"['email', 'phone']",t,t,Neighborhood highlights,Prospect-Lefferts Gardens,Brooklyn,40.66139,-73.9529,Entire rental unit,Entire home/apt,4,2.0,2 baths,2.0,2.0,"[""Dedicated workspace"", ""Essentials"", ""Exterior security cameras on property"", ""Cooking basics"", ""Stove"", ""Private entrance"", ""Dishes and silverware"", ""TV"", ""Hot water"", ""Dining table"", ""Dryer"", ""Kitchen"", ""Free washer \u2013 In unit"", ""Bathtub"", ""Hangers"", ""Refrigerator"", ""Oven"", ""Hot water kettle"", ""Toaster"", ""Wine glasses"", ""Single level home"", ""Microwave"", ""Bed linens"", ""Conditioner"", ""Smoke alarm"", ""Body soap"", ""Coffee maker: Keurig coffee machine"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Drying rack for clothing"", ""Carbon monoxide alarm"", ""Freezer"", ""Heating"", ""Air conditioning"", ""Shower gel"", ""Dishwasher"", ""Shared patio or balcony"", ""Room-darkening shades"", ""Long term stays allowed"", ""Coffee"", ""Free street parking"", ""Shampoo"", ""Laundromat nearby"", ""Host greets you""]",$321.00,30,1125,30,30,1125,1125,30.0,1125.0,,t,30,60,90,180,2025-06-17,38,0,0,180,0,0,0.0,2021-09-09,2023-09-21,4.82,4.89,5.0,4.74,4.79,4.71,4.74,,f,5,5,0,0,0.83
19000,52005461,https://www.airbnb.com/rooms/52005461,20250617032754,2025-06-17,city scrape,Luxury East Village Studio,"Luxury low rise in the heart of east village next to the L train. Gym, 24/7 doorman, rooftop pool, bbqs, 360 degree city views, 2 elevators.",,https://a0.muscache.com/pictures/8145d54b-0197-4809-b47f-10ebe00d8ad2.jpg,15131644,https://www.airbnb.com/users/show/15131644,Stefan,2014-05-05,"New York, NY",Moved to NYC in September 2013. Loving every minute of it!,within an hour,100%,97%,f,https://a0.muscache.com/im/pictures/user/fb01087b-af52-4b4a-9589-079911e4486e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/fb01087b-af52-4b4a-9589-079911e4486e.jpg?aki_policy=profile_x_medium,,6.0,8.0,"['email', 'phone']",t,t,,East Village,Manhattan,40.72954,-73.98309,Entire rental unit,Entire home/apt,2,1.0,1 bath,,1.0,"[""Dedicated workspace"", ""Essentials"", ""Free dryer \u2013 In unit"", ""Dishes and silverware"", ""Hot water"", ""Shared pool"", ""Kitchen"", ""Free washer \u2013 In unit"", ""Refrigerator"", ""HDTV with premium cable, Roku"", ""Private patio or balcony"", ""Exercise equipment"", ""Smoke alarm"", ""Elevator"", ""Self check-in"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Central air conditioning"", ""Heating"", ""Shared gym in building"", ""City skyline view"", ""Building staff"", ""Shampoo""]",$299.00,30,365,30,30,365,365,30.0,365.0,,t,0,30,48,48,2025-06-17,18,0,0,48,0,0,0.0,2021-09-05,2023-08-27,4.89,4.83,4.56,5.0,4.94,5.0,4.83,,f,2,2,0,0,0.39
19200,52639956,https://www.airbnb.com/rooms/52639956,20250617032754,2025-06-17,previous scrape,Sunny 1-bedroom loft with patio,"Start your New York adventure from this truly unique light-filled loft apartment as your launchpad!<br /><br />Located in the most interesting and fun block in Bushwick, our sunny home features one full bedroom, high ceilings, cozy decor and a semi-private patio!<br /><br />Get the feel of living like a Brooklynite; this apartment is perfect for budget-conscious travelers seeking close proximity to transportation and amenities.<br /><br />We take great pride in our apartment and hope you’ll enjoy it as much as we do!","The neighborhood surrounding the loft is filled with artist studios, galleries, vintage stores and incredible street art everywhere.<br /><br />There are great restaurants, cafes, underground clubs and bars popping up all the time, and our loft is in the center of it all. <br /><br />From Michelin-starred restaurants to Mexican taco spots, finding quality food and drinks is super easy in this neighborhood. <br /><br />Many families also live in the area, bringing out the family-oriented side of Bushwick out in the open. A great park with a running track is nearby also, providing a great place for a jog.<br /><br />A lot more places and tips will be available in our house guidebook!",https://a0.muscache.com/pictures/miso/Hosting-52639956/original/f0467f30-a815-47f0-a734-86720a3bc171.jpeg,5421054,https://www.airbnb.com/users/show/5421054,Samuel,2013-03-11,"New York, NY","Hi there!

I am a software engineer, born and raised in France and now residing in New York trying to lose the typical accent! 

I love traveling to all parts of the world whenever I get a chance, trying new foods, collecting vinyl records, and meeting new people along the way",,,,f,https://a0.muscache.com/im/pictures/user/614df16d-9224-42d7-adac-509392f6f2c8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/614df16d-9224-42d7-adac-509392f6f2c8.jpg?aki_policy=profile_x_medium,Bushwick,1.0,2.0,"['email', 'phone']",t,t,Neighborhood highlights,Bushwick,Brooklyn,40.705406,-73.923264,Entire loft,Entire home/apt,2,,1 bath,1.0,,"[""Shared patio or balcony"", ""Dedicated workspace"", ""Outdoor furniture"", ""Kitchen"", ""Outdoor dining area"", ""Smoke alarm"", ""BBQ grill"", ""Free parking on premises"", ""Self check-in"", ""Hair dryer"", ""Wifi"", ""Carbon monoxide alarm"", ""Lockbox"", ""Air conditioning""]",,30,365,30,30,365,365,30.0,365.0,,t,0,0,0,0,2025-06-17,5,0,0,0,0,0,,2021-11-03,2023-08-12,4.8,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0,0.11
19400,53010674,https://www.airbnb.com/rooms/53010674,20250617032754,2025-06-17,previous scrape,Duplex Gramercy Loft with Patio,"This unique place has a style all its own. A loft feeling duplex apt with high end finishes, a private outdoor patio and an indoor fireplace. Shoes off unless you are on the Peloton! Longer stays available if needed.",,https://a0.muscache.com/pictures/miso/Hosting-53010674/original/b46e77aa-6135-4405-af08-771cdab1ce50.jpeg,1493123,https://www.airbnb.com/users/show/1493123,"Constantinos,Zacharias",2011-12-11,"New York, NY",,within a few hours,100%,51%,t,https://a0.muscache.com/im/users/1493123/profile_pic/1323611362/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1493123/profile_pic/1323611362/original.jpg?aki_policy=profile_x_medium,,4.0,8.0,"['email', 'phone', 'work_email']",t,t,,Gramercy,Manhattan,40.73788,-73.98353,Entire rental unit,Entire home/apt,4,,1.5 baths,2.0,,"[""Outdoor furniture"", ""Dedicated workspace"", ""Bluetooth sound system"", ""70 inch HDTV with Amazon Prime Video, Apple TV, Chromecast, Disney+, Fire TV, HBO Max, Hulu, Netflix, premium cable, standard cable"", ""Essentials"", ""Cooking basics"", ""Garden view"", ""Free dryer \u2013 In unit"", ""Dishes and silverware"", ""Hot water"", ""Radiant heating"", ""Stainless steel oven"", ""Dining table"", ""Kitchen"", ""Free washer \u2013 In unit"", ""Hangers"", ""Refrigerator"", ""Hot water kettle"", ""Toaster"", ""Clothing storage: closet and dresser"", ""Private patio or balcony"", ""Mosquito net"", ""Private gym in building"", ""Wine glasses"", ""Exercise equipment"", ""Books and reading material"", ""Fire extinguisher"", ""Microwave"", ""Bed linens"", ""Private backyard \u2013 Fully fenced"", ""First aid kit"", ""Conditioner"", ""Outdoor dining area"", ""Smoke alarm"", ""Body soap"", ""Self check-in"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Carbon monoxide alarm"", ""Central air conditioning"", ""Freezer"", ""Shower gel"", ""Dishwasher"", ""Coffee maker"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Cleaning products"", ""Long term stays allowed"", ""Coffee"", ""Free street parking"", ""Wolf stainless steel induction stove"", ""Indoor fireplace: ethanol"", ""Shampoo"", ""Central heating"", ""Lockbox""]",,30,60,30,30,60,60,30.0,60.0,,t,0,0,0,0,2025-06-17,16,5,0,0,5,255,,2022-03-14,2025-01-15,5.0,4.94,4.94,5.0,4.88,4.88,4.88,,f,3,3,0,0,0.4
19600,53126188,https://www.airbnb.com/rooms/53126188,20250617032754,2025-06-17,city scrape,Sunny Artist duplex with beautiful private terrace,"Cozy and very sunny duplex in a beautiful neighborhood near grocery stores, coffee shops, and great restaurants. 1 min away from the train to Manhattan (20 min to canal st station). <br />The apartment has beautiful sunlight, is very peaceful, has a small balcony and a gorgeous private deck in the second floor. We have two full bathrooms, one with a bathtub and the other one with a shower. The kitchen is very well equipped great for cooking delicious meals.",,https://a0.muscache.com/pictures/miso/Hosting-53126188/original/dd4c784e-b982-44e3-b160-8c6535ed24b5.jpeg,17026738,https://www.airbnb.com/users/show/17026738,Camila,2014-06-20,United States,,,,100%,f,https://a0.muscache.com/im/pictures/user/1a3d812a-fbcf-49c9-bc32-510ddf26f97d.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/1a3d812a-fbcf-49c9-bc32-510ddf26f97d.jpg?aki_policy=profile_x_medium,Williamsburg,2.0,2.0,"['email', 'phone']",t,t,,Bedford-Stuyvesant,Brooklyn,40.69301,-73.92948,Entire rental unit,Entire home/apt,2,2.0,2 baths,1.0,0.0,"[""Outdoor furniture"", ""Dedicated workspace"", ""Essentials"", ""Stainless steel stove"", ""Cooking basics"", ""Private entrance"", ""Blender"", ""Dishes and silverware"", ""Hot water"", ""Stainless steel oven"", ""Portable fans"", ""Dining table"", ""Washer"", ""Kitchen"", ""Bathtub"", ""Hangers"", ""Hot water kettle"", ""Toaster"", ""Private patio or balcony"", ""Mosquito net"", ""Wine glasses"", ""Books and reading material"", ""Microwave"", ""Bed linens"", ""Baking sheet"", ""First aid kit"", ""Coffee maker: espresso machine"", ""Smoke alarm"", ""Paid dryer \u2013 In building"", ""Outdoor dining area"", ""Hair dryer"", ""Wifi"", ""Meyers body soap"", ""Iron"", ""Bose Bluetooth sound system"", ""Carbon monoxide alarm"", ""Ethernet connection"", ""Freezer"", ""Air conditioning"", ""Shower gel"", ""Dishwasher"", ""Laundromat nearby"", ""Safe"", ""Board games"", ""Hammock"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Bose refrigerator"", ""Cleaning products"", ""Coffee"", ""Central heating""]",$169.00,30,365,30,30,365,365,30.0,365.0,,t,0,0,0,268,2025-06-17,0,0,0,101,0,0,0.0,,,,,,,,,,,f,2,2,0,0,
19800,53610004,https://www.airbnb.com/rooms/53610004,20250617032754,2025-06-17,previous scrape,Studio in Luxury Bld overlooking Central Park,"Spacious Studio in a luxury doorman building located right next to Central Park and Columbus circle. Overlooks the park with spectacular views. Super close to all the subway stations, bars, restaurants,  grocery stores and other sights! <br />Amazing if you want to be located centrally. Buulding has an amazing rooftop with stellar views of the city across all directions!",,https://a0.muscache.com/pictures/miso/Hosting-53610004/original/a32df191-83cb-4cb6-9921-d22bb4a35d8a.jpeg,4513827,https://www.airbnb.com/users/show/4513827,Salman,2012-12-28,"New York, NY","Currently live in NYC, moved here for a job in 2013. Work in Technology! I am a passionate traveler and believe everyone should have as many resources as possible to travel in an affordable and safe manner. Here to provide and seek these resources. ",,,,f,https://a0.muscache.com/im/pictures/user/ece44041-8672-40a3-be1f-c2a25698a5a7.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ece44041-8672-40a3-be1f-c2a25698a5a7.jpg?aki_policy=profile_x_medium,,1.0,4.0,"['email', 'phone']",t,t,,Upper West Side,Manhattan,40.77013,-73.98653,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,"[""Washer"", ""Kitchen"", ""Park view"", ""Smoke alarm"", ""City skyline view"", ""Pool"", ""TV"", ""Wifi"", ""Fire extinguisher"", ""Air conditioning""]",,45,75,45,45,75,75,45.0,75.0,,,0,0,0,0,2025-06-17,0,0,0,0,0,0,,,,,,,,,,,,f,1,1,0,0,
20000,54004596,https://www.airbnb.com/rooms/54004596,20250617032754,2025-06-17,previous scrape,Large private room apartment renovated in 2022.,"This apartment is located ground floor (half basement) and it is 5-6min from subway ""Inwood-207st"" station A Line .<br /><br />The apartment is renovated in 2022 and we are the first tenant in this unit.<br /> <br />This is 6bedroom 2bathroom apartment. You will share 1 bathroom with 2 other rooms and you can use the other bathroom as emergency bathroom. You also share kitchen 5 other rooms.","The apartment is located in Inwood Manhattan building. A part of Inwood is known as rich neighborhood. There is a museum , The Met Cloisters. There are 3 large park, Fort Tryon Park, Inwood Hill Park, and Harlem River park<br />Restaurants, bars, drugstore and banks are located near the station.",https://a0.muscache.com/pictures/miso/Hosting-54004596/original/bb53ba4e-1d40-4789-8a95-833d29341aff.jpeg,200239515,https://www.airbnb.com/users/show/200239515,Shogo,2018-07-05,"New York, United States",,within an hour,96%,81%,f,https://a0.muscache.com/im/pictures/user/2cb73e15-f3ee-4cd4-9e0d-7fb8f880108a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/2cb73e15-f3ee-4cd4-9e0d-7fb8f880108a.jpg?aki_policy=profile_x_medium,Elmhurst,280.0,316.0,"['email', 'phone']",t,t,Neighborhood highlights,Inwood,Manhattan,40.86608,-73.92436,Private room in condo,Private room,2,,2 shared baths,,,"[""Dedicated workspace"", ""Kitchen"", ""Smoke alarm"", ""Hangers"", ""Wifi"", ""Carbon monoxide alarm"", ""Heating""]",,30,1125,30,30,1125,1125,30.0,1125.0,,t,0,0,0,0,2025-06-17,0,0,0,0,0,0,,,,,,,,,,,,f,231,4,227,0,
20200,54304382,https://www.airbnb.com/rooms/54304382,20250617032754,2025-06-17,city scrape,Upper West Side Townhouse Apt With Private Terrace,"Unwind in a charming, sun-soaked Upper West Side townhouse apartment with your own private terrace. Nestled on a peaceful street just steps from Riverside Park, this one-bedroom home offers a perfect blend of tranquility and city access. With its historic charm, recent renovations, and proximity to Central Park, Lincoln Center, and top eateries, it’s an ideal retreat for work or relaxation in NYC.","Located in the Upper West Side, a peaceful haven within Manhattan with easy access to everything the city has to offer. Transportation options include the 1,2,3, B and C subway lines.",https://a0.muscache.com/pictures/miso/Hosting-54304382/original/e761f5c4-3298-4e31-9703-8bdb6171df95.jpeg,438952657,https://www.airbnb.com/users/show/438952657,Gisele,2022-01-04,,,within an hour,100%,99%,f,https://a0.muscache.com/im/pictures/user/User/original/3c90ce54-2c24-4126-908b-a4cd2918bc0f.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/3c90ce54-2c24-4126-908b-a4cd2918bc0f.jpeg?aki_policy=profile_x_medium,,43.0,43.0,"['email', 'phone']",t,t,Neighborhood highlights,Upper West Side,Manhattan,40.781,-73.98375,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Dedicated workspace"", ""Essentials"", ""Cooking basics"", ""Private entrance"", ""Dishes and silverware"", ""TV"", ""Hot water"", ""Dryer"", ""Washer"", ""Kitchen"", ""Keypad"", ""Pets allowed"", ""Bed linens"", ""Conditioner"", ""Smoke alarm"", ""Body soap"", ""Clothing storage"", ""Self check-in"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Carbon monoxide alarm"", ""Heating"", ""Air conditioning"", ""Safe"", ""Long term stays allowed"", ""Shampoo""]",$158.00,30,365,30,30,365,365,30.0,365.0,,t,28,58,88,363,2025-06-17,13,2,0,196,3,120,18960.0,2022-03-28,2025-05-11,4.77,4.92,4.85,5.0,4.62,5.0,4.54,,t,43,32,11,0,0.33
20400,549522896406512978,https://www.airbnb.com/rooms/549522896406512978,20250617032754,2025-06-17,previous scrape,Lovely 1-bed in middle of Big Apple,"Spacious, 1-bed in the heart of NYC. Walking distance to Union Square, Astor Place, and close to subway stations. Strategically located next to some of the best restaurants, bagels & bars in New York City!",,https://a0.muscache.com/pictures/miso/Hosting-549522896406512978/original/e96c2336-9842-4adf-973d-551ca608429e.jpeg,442449520,https://www.airbnb.com/users/show/442449520,Alyssa,2022-01-27,,,,,,f,https://a0.muscache.com/im/pictures/user/2bdeee11-d1db-4cd8-8361-df73e387a01e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/2bdeee11-d1db-4cd8-8361-df73e387a01e.jpg?aki_policy=profile_x_medium,,1.0,1.0,"['email', 'phone']",t,f,,Gramercy,Manhattan,40.73409,-73.98738,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,"[""Dedicated workspace"", ""Essentials"", ""Cooking basics"", ""Dishes and silverware"", ""Hot water"", ""Radiant heating"", ""Dining table"", ""Kitchen"", ""Bathtub"", ""Hangers"", ""Refrigerator"", ""Oven"", ""Toaster"", ""Wine glasses"", ""Microwave"", ""Bed linens"", ""First aid kit"", ""Smoke alarm"", ""Free parking on premises"", ""Clothing storage: closet"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Gas stove"", ""Carbon monoxide alarm"", ""Freezer"", ""Air conditioning"", ""Shower gel"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Cleaning products"", ""Shampoo""]",,30,1125,30,30,1125,1125,30.0,1125.0,,,0,0,0,0,2025-06-17,2,0,0,0,0,0,,2022-03-21,2022-03-28,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0,0.05
20600,568534717360191731,https://www.airbnb.com/rooms/568534717360191731,20250617032754,2025-06-17,previous scrape,Your NYC Home w/ Sauna+Chef's Kitchen! #10354,"If you're looking at this listing, it means you've stumbled upon a once-in-a-lifetime opportunity: ~2300 sq ft Brooklyn home with a sauna, a fully stocked chef's kitchen, two balconies, and outdoor dining with BBQ. This home is intentionally the perfect space to work, relax, and live life, all while being a stone's throw from everything the city has to offer. We hope that you will enjoy the tasteful decor and thoughtful layout. We also provide a high chair, crib, and stair gate if needed.","Brooklyn’s Bedford-Stuyvesant neighborhood, better known as “Bed-Stuy,” is an ever-evolving destination for artists, creatives, and families. Showing off its community spirit, it’s never uncommon to encounter a block party or an outdoor movie screening in a park. The nightlife scene in Bed-Stuy is unpretentious, the bars are fun, and the dance clubs are even more fun. If you feel like dancing, check who’s Dj-ing at Doris or head to Lover’s Rock for some live reggae. <br /> <br />While you’re wandering the neighborhood, you’ll surely notice the architecture. Bed-Stuy boasts America’s largest collection of untouched Victorian buildings and iconic New York brownstones. <br /> <br />In the neighborhoods nearby, you’ll find eclectic warehouse art galleries and mesmerizing street murals in Bushwick. You’ll find trendy cocktail bars, boutique shops, and the hottest new restaurants in Williamsburg. And, to the south, Crown Heights blends old-school New York scenery with hip new bars, coffee sh",https://a0.muscache.com/pictures/miso/Hosting-568534717360191731/original/74cde2ed-d2fc-40ac-87df-f746c2ad3e93.jpeg,403696256,https://www.airbnb.com/users/show/403696256,Molly,2021-05-26,,,,,,f,https://a0.muscache.com/im/pictures/user/40f00cc2-7551-420f-bc93-84c02503d7d1.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/40f00cc2-7551-420f-bc93-84c02503d7d1.jpg?aki_policy=profile_x_medium,Ocean Hill,1.0,1.0,"['email', 'phone']",t,t,Neighborhood highlights,Bedford-Stuyvesant,Brooklyn,40.67835,-73.91958,Entire home,Entire home/apt,5,,2.5 baths,3.0,,"[""Dedicated workspace"", ""Essentials"", ""Exterior security cameras on property"", ""Cooking basics"", ""Dishes and silverware"", ""TV"", ""Smart lock"", ""Hot water"", ""Dining table"", ""Dryer"", ""Washer"", ""Kitchen"", ""Oven"", ""Refrigerator"", ""Hot water kettle"", ""Sauna"", ""Bed linens"", ""Smoke alarm"", ""Self check-in"", ""Hair dryer"", ""Wifi"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Freezer"", ""Heating"", ""Air conditioning"", ""Dishwasher"", ""Long term stays allowed"", ""Shampoo""]",,30,1125,30,30,1125,1125,30.0,1125.0,,t,0,0,0,0,2025-06-17,2,0,0,0,0,0,,2022-03-09,2022-04-30,5.0,5.0,5.0,5.0,5.0,4.5,4.5,,f,1,1,0,0,0.05
20800,583312696230574640,https://www.airbnb.com/rooms/583312696230574640,20250617032754,2025-06-17,city scrape,Private Room In Ridgewood,"Enjoy all that New York City has to offer from a beautifully restored walk-up in the historic Queens neighborhood of Ridgewood. With elegantly designed 3- and 4-bedroom apartments, a spacious common lounge and a newly renovated backyard, the Cornelia House is the perfect home base whether you’re in New York for a few months or plan to stay awhile.",,https://a0.muscache.com/pictures/miso/Hosting-583312696230574640/original/53444774-a260-4b3d-92f8-cac0195fb092.png,443243931,https://www.airbnb.com/users/show/443243931,Alex,2022-02-02,"New York, NY","Are you tired of the tedious and time-consuming process of finding the right place to live? At Outpost Club, we think it should be as easy as grabbing your favorite cup of coffee. Our team - comprised of seasoned travelers - founded Outpost Club to make the process of relocating to a new city easier than ever before.",within an hour,100%,92%,f,https://a0.muscache.com/im/pictures/user/016db4c6-7450-443c-8ade-a021b2ed2edc.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/016db4c6-7450-443c-8ade-a021b2ed2edc.jpg?aki_policy=profile_x_medium,Ridgewood,11.0,20.0,"['email', 'phone']",t,t,,Ridgewood,Queens,40.702541,-73.903419,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,0.0,"[""Kitchen"", ""Smoke alarm"", ""TV"", ""Wifi"", ""Carbon monoxide alarm"", ""Air conditioning""]",$52.00,30,365,30,30,365,365,30.0,365.0,,t,28,58,88,363,2025-06-17,0,0,0,196,0,0,0.0,,,,,,,,,,,f,11,0,11,0,
21000,602847514991741383,https://www.airbnb.com/rooms/602847514991741383,20250617032754,2025-06-17,city scrape,Lovely space in historic brownstone,"A bright, beautiful space in a 1870s landmarked brownstone in Crown Heights North Historic District. The private ensuite is part of our house, we keep it for friends / family and is on the first floor with a private entrance.<br /><br />A short walk to the A/C train and ~30 minutes into lower Manhattan. Plenty of neighborhood restaurants/bars within walking distance along Franklin Ave and further down in Prospect Heights. Popular spots is a 30min walk away (BK Museum, BK Botanic Garden, Prospect Park).","Suzanne Spellen, a writer and historian who lives in Crown Heights and is an expert on its history, describes it as an area that is “shared by Caribbean Americans, a growing number of hipster renters, and a large and growing Lubavitch ultra-Orthodox Jewish community.”<br /><br />— Crown Heights: The insider's guide to living there, Marjorie Cohen, Brick Underground, June 2021",https://a0.muscache.com/pictures/miso/Hosting-602847514991741383/original/cbbc7adb-a695-415d-935a-cc78686c911c.jpeg,14549607,https://www.airbnb.com/users/show/14549607,Ronan,2014-04-21,"New York, NY","Husband, Dad, Liverpool FC Supporter",,,,f,https://a0.muscache.com/im/pictures/user/08e253d6-239d-43a6-be76-47e91c6848a8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/08e253d6-239d-43a6-be76-47e91c6848a8.jpg?aki_policy=profile_x_medium,,1.0,1.0,"['email', 'phone']",t,t,Neighborhood highlights,Crown Heights,Brooklyn,40.67671,-73.94732,Private room,Private room,2,1.0,1 private bath,1.0,1.0,"[""Croxley Record Player with Bluetooth Bluetooth sound system"", ""Outdoor furniture"", ""Essentials"", ""Public Goods shampoo"", ""Cooking basics"", ""Private entrance"", ""Stainless steel gas stove"", ""Dishes and silverware"", ""Hot water"", ""Stainless steel oven"", ""Portable fans"", ""Coffee maker: pour-over coffee"", ""Dining table"", ""Lockbox"", ""Lock on bedroom door"", ""Kitchen"", ""Bathtub"", ""Hangers"", ""Refrigerator"", ""Hot water kettle"", ""Toaster"", ""Wine glasses"", ""Heating - split type ductless system"", ""Fire extinguisher"", ""Books and reading material"", ""Public Goods conditioner"", ""Luggage dropoff allowed"", ""Shared backyard \u2013 Fully fenced"", ""AC - split type ductless system"", ""Bed linens"", ""Baking sheet"", ""First aid kit"", ""Outdoor dining area"", ""Smoke alarm"", ""Clothing storage"", ""Self check-in"", ""Record player"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Carbon monoxide alarm"", ""Freezer"", ""Shower gel"", ""Dishwasher"", ""Room-darkening shades"", ""Cleaning products"", ""Coffee"", ""Free street parking"", ""Laundromat nearby"", ""Public Goods body soap""]",$238.00,4,22,4,4,1125,1125,4.0,1125.0,,t,20,46,61,61,2025-06-17,77,16,1,61,20,205,48790.0,2022-04-20,2025-05-20,4.96,4.95,4.96,4.99,5.0,4.73,4.84,OSE-STRREG-0000145,f,1,0,1,0,2.0
